Angle,Coefficient,Value
-90,A1,-0.840909
-90,B0_L,1.000000
-90,B1_L,0.079545
-90,B0_R,1.920455
-90,B1_R,-1.761364
-60,A1,-0.840909
-60,B0_L,1.061659
-60,B1_L,-0.043772
-60,B0_R,1.858796
-60,B1_R,-1.638046
-30,A1,-0.840909
-30,B0_L,1.230114
-30,B1_L,-0.380682
-30,B0_R,1.690341
-30,B1_R,-1.301136
0,A1,-0.840909
0,B0_L,1.460227
0,B1_L,-0.840909
0,B0_R,1.460227
0,B1_R,-0.840909
30,A1,-0.840909
30,B0_L,1.690341
30,B1_L,-1.301136
30,B0_R,1.230114
30,B1_R,-0.380682
60,A1,-0.840909
60,B0_L,1.858796
60,B1_L,-1.638046
60,B0_R,1.061659
60,B1_R,-0.043772
90,A1,-0.840909
90,B0_L,1.920455
90,B1_L,-1.761364
90,B0_R,1.000000
90,B1_R,0.079545
-90,A1,-0.840909
-90,B0_L,1.000000
-90,B1_L,0.079545
-90,B0_R,1.920455
-90,B1_R,-1.761364
-60,A1,-0.840909
-60,B0_L,1.061659
-60,B1_L,-0.043772
-60,B0_R,1.858796
-60,B1_R,-1.638046
-30,A1,-0.840909
-30,B0_L,1.230114
-30,B1_L,-0.380682
-30,B0_R,1.690341
-30,B1_R,-1.301136
0,A1,-0.840909
0,B0_L,1.460227
0,B1_L,-0.840909
0,B0_R,1.460227
0,B1_R,-0.840909
30,A1,-0.840909
30,B0_L,1.690341
30,B1_L,-1.301136
30,B0_R,1.230114
30,B1_R,-0.380682
60,A1,-0.840909
60,B0_L,1.858796
60,B1_L,-1.638046
60,B0_R,1.061659
60,B1_R,-0.043772
90,A1,-0.840909
90,B0_L,1.920455
90,B1_L,-1.761364
90,B0_R,1.000000
90,B1_R,0.079545
-90,A1,-0.840909
-90,B0_L,1.000000
-90,B1_L,0.079545
-90,B0_R,1.920455
-90,B1_R,-1.761364
-60,A1,-0.840909
-60,B0_L,1.061659
-60,B1_L,-0.043772
-60,B0_R,1.858796
-60,B1_R,-1.638046
-30,A1,-0.840909
-30,B0_L,1.230114
-30,B1_L,-0.380682
-30,B0_R,1.690341
-30,B1_R,-1.301136
0,A1,-0.840909
0,B0_L,1.460227
0,B1_L,-0.840909
0,B0_R,1.460227
0,B1_R,-0.840909
30,A1,-0.840909
30,B0_L,1.690341
30,B1_L,-1.301136
30,B0_R,1.230114
30,B1_R,-0.380682
60,A1,-0.840909
60,B0_L,1.858796
60,B1_L,-1.638046
60,B0_R,1.061659
60,B1_R,-0.043772
90,A1,-0.840909
90,B0_L,1.920455
90,B1_L,-1.761364
90,B0_R,1.000000
90,B1_R,0.079545
-90,A1,-0.840909
-90,B0_L,1.000000
-90,B1_L,0.079545
-90,B0_R,1.920455
-90,B1_R,-1.761364
-60,A1,-0.840909
-60,B0_L,1.061659
-60,B1_L,-0.043772
-60,B0_R,1.858796
-60,B1_R,-1.638046
-30,A1,-0.840909
-30,B0_L,1.230114
-30,B1_L,-0.380682
-30,B0_R,1.690341
-30,B1_R,-1.301136
0,A1,-0.840909
0,B0_L,1.460227
0,B1_L,-0.840909
0,B0_R,1.460227
0,B1_R,-0.840909
30,A1,-0.840909
30,B0_L,1.690341
30,B1_L,-1.301136
30,B0_R,1.230114
30,B1_R,-0.380682
60,A1,-0.840909
60,B0_L,1.858796
60,B1_L,-1.638046
60,B0_R,1.061659
60,B1_R,-0.043772
90,A1,-0.840909
90,B0_L,1.920455
90,B1_L,-1.761364
90,B0_R,1.000000
90,B1_R,0.079545
-90,A1,-0.840909
-90,B0_L,1.000000
-90,B1_L,0.079545
-90,B0_R,1.920455
-90,B1_R,-1.761364
-60,A1,-0.840909
-60,B0_L,1.061659
-60,B1_L,-0.043772
-60,B0_R,1.858796
-60,B1_R,-1.638046
-30,A1,-0.840909
-30,B0_L,1.230114
-30,B1_L,-0.380682
-30,B0_R,1.690341
-30,B1_R,-1.301136
0,A1,-0.840909
0,B0_L,1.460227
0,B1_L,-0.840909
0,B0_R,1.460227
0,B1_R,-0.840909
30,A1,-0.840909
30,B0_L,1.690341
30,B1_L,-1.301136
30,B0_R,1.230114
30,B1_R,-0.380682
60,A1,-0.840909
60,B0_L,1.858796
60,B1_L,-1.638046
60,B0_R,1.061659
60,B1_R,-0.043772
90,A1,-0.840909
90,B0_L,1.920455
90,B1_L,-1.761364
90,B0_R,1.000000
90,B1_R,0.079545
-90,A1,-0.840909
-90,B0_L,1.000000
-90,B1_L,0.079545
-90,B0_R,1.920455
-90,B1_R,-1.761364
-60,A1,-0.840909
-60,B0_L,1.061659
-60,B1_L,-0.043772
-60,B0_R,1.858796
-60,B1_R,-1.638046
-30,A1,-0.840909
-30,B0_L,1.230114
-30,B1_L,-0.380682
-30,B0_R,1.690341
-30,B1_R,-1.301136
0,A1,-0.840909
0,B0_L,1.460227
0,B1_L,-0.840909
0,B0_R,1.460227
0,B1_R,-0.840909
30,A1,-0.840909
30,B0_L,1.690341
30,B1_L,-1.301136
30,B0_R,1.230114
30,B1_R,-0.380682
60,A1,-0.840909
60,B0_L,1.858796
60,B1_L,-1.638046
60,B0_R,1.061659
60,B1_R,-0.043772
90,A1,-0.840909
90,B0_L,1.920455
90,B1_L,-1.761364
90,B0_R,1.000000
90,B1_R,0.079545
-90,A1,-0.840909
-90,B0_L,1.000000
-90,B1_L,0.079545
-90,B0_R,1.920455
-90,B1_R,-1.761364
-60,A1,-0.840909
-60,B0_L,1.061659
-60,B1_L,-0.043772
-60,B0_R,1.858796
-60,B1_R,-1.638046
-30,A1,-0.840909
-30,B0_L,1.230114
-30,B1_L,-0.380682
-30,B0_R,1.690341
-30,B1_R,-1.301136
0,A1,-0.840909
0,B0_L,1.460227
0,B1_L,-0.840909
0,B0_R,1.460227
0,B1_R,-0.840909
30,A1,-0.840909
30,B0_L,1.690341
30,B1_L,-1.301136
30,B0_R,1.230114
30,B1_R,-0.380682
60,A1,-0.840909
60,B0_L,1.858796
60,B1_L,-1.638046
60,B0_R,1.061659
60,B1_R,-0.043772
90,A1,-0.840909
90,B0_L,1.920455
90,B1_L,-1.761364
90,B0_R,1.000000
90,B1_R,0.079545
-90,A1,-0.840909
-90,B0_L,1.000000
-90,B1_L,0.079545
-90,B0_R,1.920455
-90,B1_R,-1.761364
-60,A1,-0.840909
-60,B0_L,1.061659
-60,B1_L,-0.043772
-60,B0_R,1.858796
-60,B1_R,-1.638046
-30,A1,-0.840909
-30,B0_L,1.230114
-30,B1_L,-0.380682
-30,B0_R,1.690341
-30,B1_R,-1.301136
0,A1,-0.840909
0,B0_L,1.460227
0,B1_L,-0.840909
0,B0_R,1.460227
0,B1_R,-0.840909
30,A1,-0.840909
30,B0_L,1.690341
30,B1_L,-1.301136
30,B0_R,1.230114
30,B1_R,-0.380682
60,A1,-0.840909
60,B0_L,1.858796
60,B1_L,-1.638046
60,B0_R,1.061659
60,B1_R,-0.043772
90,A1,-0.840909
90,B0_L,1.920455
90,B1_L,-1.761364
90,B0_R,1.000000
90,B1_R,0.079545
-90,A1,-0.840909
-90,B0_L,1.000000
-90,B1_L,0.079545
-90,B0_R,1.920455
-90,B1_R,-1.761364
-60,A1,-0.840909
-60,B0_L,1.061659
-60,B1_L,-0.043772
-60,B0_R,1.858796
-60,B1_R,-1.638046
-30,A1,-0.840909
-30,B0_L,1.230114
-30,B1_L,-0.380682
-30,B0_R,1.690341
-30,B1_R,-1.301136
0,A1,-0.840909
0,B0_L,1.460227
0,B1_L,-0.840909
0,B0_R,1.460227
0,B1_R,-0.840909
30,A1,-0.840909
30,B0_L,1.690341
30,B1_L,-1.301136
30,B0_R,1.230114
30,B1_R,-0.380682
60,A1,-0.840909
60,B0_L,1.858796
60,B1_L,-1.638046
60,B0_R,1.061659
60,B1_R,-0.043772
90,A1,-0.840909
90,B0_L,1.920455
90,B1_L,-1.761364
90,B0_R,1.000000
90,B1_R,0.079545
